"team_name" "Rk" "From" "To" "Yrs" "G" "W" "L" "W.L." "SRS" "SOS" "AP" "CREG" "CTRN" "NCAA" "FF" "NC" "paste_url"
"98" "Cumberland University Bulldogs" "102" 1904 1904 "1" "4" "4" "0" "1.000" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/cumberland-university/"
"99" "Dakota Wesleyan Tigers" "103" 1932 1932 "1" "20" "19" "1" ".950" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/dakota-wesleyan/"
"100" "Dartmouth Big Green" "104" 1900 2015 "115" "2715" "1268" "1445" ".467" "-11.68" "-6.47" "0" "12" "0" "7" "2" "0" "http://www.sports-reference.com/cbb/schools/dartmouth/"
"101" "Davidson Wildcats" "105" 1909 2015 "106" "2540" "1374" "1166" ".541" "-1.28" "-2.75" "6" "23" "12" "12" "0" "0" "http://www.sports-reference.com/cbb/schools/davidson/"
"102" "Dayton Flyers" "106" 1904 2015 "110" "2624" "1554" "1070" ".592" "5.12" "3.16" "7" "4" "2" "15" "1" "0" "http://www.sports-reference.com/cbb/schools/dayton/"
"103" "Delaware Fightin' Blue Hens" "107" 1906 2015 "74" "1757" "878" "878" ".500" "-5.26" "-4.49" "0" "4" "5" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/delaware/"
"104" "Delaware State Hornets" "108" 1974 2015 "42" "1192" "498" "694" ".418" "-15.09" "-9.92" "0" "3" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/delaware-state/"
"105" "Denison Big Red" "109" 1905 1944 "24" "362" "269" "93" ".743" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/denison/"
"106" "Denver Pioneers" "110" 1904 2015 "92" "1950" "885" "1065" ".454" "-3.46" "-2.24" "0" "5" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/denver/"
"107" "DePaul Blue Demons" "111" 1924 2015 "92" "2357" "1419" "938" ".602" "7.79" "6.16" "12" "9" "0" "22" "2" "0" "http://www.sports-reference.com/cbb/schools/depaul/"
"108" "DePauw Tigers" "112" 1916 1932 "17" "276" "182" "94" ".659" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/depauw/"
"109" "Detroit Mercy Titans" "113" 1910 2015 "106" "2521" "1371" "1150" ".544" "-0.08" "0.70" "2" "2" "3" "6" "0" "0" "http://www.sports-reference.com/cbb/schools/detroit-mercy/"
"110" "Dickinson College Red Devils" "114" 1926 1947 "2" "34" "30" "4" ".882" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/dickinson-college/"
"111" "Drake Bulldogs" "115" 1907 2015 "109" "2589" "1187" "1402" ".458" "-0.26" "2.53" "5" "8" "1" "4" "1" "0" "http://www.sports-reference.com/cbb/schools/drake/"
"112" "Drexel Dragons" "116" 1895 2015 "45" "1223" "702" "521" ".574" "-2.17" "-4.11" "0" "7" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/drexel/"
"113" "Duke Blue Devils" "117" 1906 2015 "110" "2903" "2051" "852" ".707" "20.82" "9.07" "43" "22" "24" "38" "15" "4" "http://www.sports-reference.com/cbb/schools/duke/"
"114" "Duquesne Dukes" "118" 1914 2015 "99" "2390" "1337" "1053" ".559" "-0.85" "2.26" "7" "3" "1" "5" "1" "0" "http://www.sports-reference.com/cbb/schools/duquesne/"
"115" "East Carolina Pirates" "119" 1967 2015 "49" "1381" "615" "766" ".445" "-4.02" "-0.50" "0" "0" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/east-carolina/"
"116" "East Central Tigers" "120" 1929 1931 "3" "74" "66" "8" ".892" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/east-central/"
"117" "East Tennessee State Buccaneers" "121" 1959 2015 "57" "1600" "847" "753" ".529" "-3.78" "-3.35" "1" "9" "8" "9" "0" "0" "http://www.sports-reference.com/cbb/schools/east-tennessee-state/"
"118" "Eastern Illinois Panthers" "122" 1982 2015 "34" "987" "456" "531" ".462" "-7.27" "-4.26" "0" "0" "3" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/eastern-illinois/"
"119" "Eastern Kentucky Colonels" "123" 1948 2015 "65" "1722" "850" "872" ".494" "-6.64" "-4.03" "0" "7" "5" "8" "0" "0" "http://www.sports-reference.com/cbb/schools/eastern-kentucky/"
"120" "Eastern Michigan Eagles" "124" 1933 2015 "43" "1247" "584" "663" ".468" "-2.37" "-0.34" "0" "5" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/eastern-michigan/"
"121" "Eastern Washington Eagles" "125" 1984 2015 "32" "907" "367" "540" ".405" "-6.76" "-1.99" "0" "2" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/eastern-washington/"
"122" "Elon Phoenix" "126" 2000 2015 "16" "485" "203" "282" ".419" "-9.46" "-4.33" "0" "2" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/elon/"
"123" "Emporia State Hornets" "127" 1934 1934 "1" "18" "17" "1" ".944" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/emporia-state/"
"124" "Evansville Purple Aces" "128" 1925 2015 "42" "1165" "633" "532" ".543" "1.86" "1.00" "0" "6" "4" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/evansville/"
"125" "Fairfield Stags" "129" 1965 2015 "51" "1442" "706" "736" ".490" "-4.75" "-2.60" "0" "3" "3" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/fairfield/"
"126" "Fairleigh Dickinson Knights" "130" 1968 2015 "48" "1333" "642" "691" ".482" "-9.29" "-7.03" "0" "5" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/fairleigh-dickinson/"
"127" "Florida A&M Rattlers" "131" 1980 2015 "36" "1058" "417" "641" ".394" "-15.60" "-9.02" "0" "0" "4" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/florida-am/"
"128" "Florida Atlantic Owls" "132" 1994 2015 "22" "641" "232" "409" ".362" "-9.93" "-3.79" "0" "1" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/florida-atlantic/"
"129" "Florida Gators" "133" 1921 2015 "94" "2400" "1340" "1059" ".559" "13.31" "7.82" "13" "9" "4" "19" "5" "2" "http://www.sports-reference.com/cbb/schools/florida/"
"130" "Florida Gulf Coast Eagles" "134" 2011 2015 "5" "162" "94" "68" ".580" "-2.28" "-3.33" "0" "1" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/florida-gulf-coast/"
"131" "Florida International Panthers" "135" 1988 2015 "28" "817" "322" "495" ".394" "-8.71" "-3.42" "0" "1" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/florida-international/"
"132" "Florida State Seminoles" "136" 1957 2015 "59" "1714" "1002" "712" ".585" "9.66" "7.38" "8" "2" "2" "14" "1" "0" "http://www.sports-reference.com/cbb/schools/florida-state/"
