"V1" "seasons.V1" "seasons_url" "season"
"163" "Arizona State Sun Devils" "2004-05" "http://www.sports-reference.com/cbb/schools/arizona-state/2005.html" 2004
"164" "Arizona State Sun Devils" "2003-04" "http://www.sports-reference.com/cbb/schools/arizona-state/2004.html" 2003
"165" "Arizona State Sun Devils" "2002-03" "http://www.sports-reference.com/cbb/schools/arizona-state/2003.html" 2002
"166" "Arizona State Sun Devils" "2001-02" "http://www.sports-reference.com/cbb/schools/arizona-state/2002.html" 2001
"167" "Arizona State Sun Devils" "2000-01" "http://www.sports-reference.com/cbb/schools/arizona-state/2001.html" 2000
"168" "Arizona Wildcats" "2014-15" "http://www.sports-reference.com/cbb/schools/arizona/2015.html" 2014
"169" "Arizona Wildcats" "2013-14" "http://www.sports-reference.com/cbb/schools/arizona/2014.html" 2013
"170" "Arizona Wildcats" "2012-13" "http://www.sports-reference.com/cbb/schools/arizona/2013.html" 2012
"171" "Arizona Wildcats" "2011-12" "http://www.sports-reference.com/cbb/schools/arizona/2012.html" 2011
"172" "Arizona Wildcats" "2010-11" "http://www.sports-reference.com/cbb/schools/arizona/2011.html" 2010
"173" "Arizona Wildcats" "2009-10" "http://www.sports-reference.com/cbb/schools/arizona/2010.html" 2009
"174" "Arizona Wildcats" "2008-09" "http://www.sports-reference.com/cbb/schools/arizona/2009.html" 2008
"175" "Arizona Wildcats" "2007-08" "http://www.sports-reference.com/cbb/schools/arizona/2008.html" 2007
"176" "Arizona Wildcats" "2006-07" "http://www.sports-reference.com/cbb/schools/arizona/2007.html" 2006
"177" "Arizona Wildcats" "2005-06" "http://www.sports-reference.com/cbb/schools/arizona/2006.html" 2005
"178" "Arizona Wildcats" "2004-05" "http://www.sports-reference.com/cbb/schools/arizona/2005.html" 2004
"179" "Arizona Wildcats" "2003-04" "http://www.sports-reference.com/cbb/schools/arizona/2004.html" 2003
"180" "Arizona Wildcats" "2002-03" "http://www.sports-reference.com/cbb/schools/arizona/2003.html" 2002
"181" "Arizona Wildcats" "2001-02" "http://www.sports-reference.com/cbb/schools/arizona/2002.html" 2001
"182" "Arizona Wildcats" "2000-01" "http://www.sports-reference.com/cbb/schools/arizona/2001.html" 2000
"183" "Arkansas-Little Rock Trojans" "2014-15" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2015.html" 2014
"184" "Arkansas-Little Rock Trojans" "2013-14" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2014.html" 2013
"185" "Arkansas-Little Rock Trojans" "2012-13" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2013.html" 2012
"186" "Arkansas-Little Rock Trojans" "2011-12" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2012.html" 2011
"187" "Arkansas-Little Rock Trojans" "2010-11" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2011.html" 2010
"188" "Arkansas-Little Rock Trojans" "2009-10" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2010.html" 2009
"189" "Arkansas-Little Rock Trojans" "2008-09" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2009.html" 2008
"190" "Arkansas-Little Rock Trojans" "2007-08" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2008.html" 2007
"191" "Arkansas-Little Rock Trojans" "2006-07" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2007.html" 2006
"192" "Arkansas-Little Rock Trojans" "2005-06" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2006.html" 2005
"193" "Arkansas-Little Rock Trojans" "2004-05" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2005.html" 2004
"194" "Arkansas-Little Rock Trojans" "2003-04" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2004.html" 2003
"195" "Arkansas-Little Rock Trojans" "2002-03" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2003.html" 2002
"196" "Arkansas-Little Rock Trojans" "2001-02" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2002.html" 2001
"197" "Arkansas-Little Rock Trojans" "2000-01" "http://www.sports-reference.com/cbb/schools/arkansas-little-rock/2001.html" 2000
"198" "Arkansas-Pine Bluff Golden Lions" "2014-15" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2015.html" 2014
"199" "Arkansas-Pine Bluff Golden Lions" "2013-14" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2014.html" 2013
"200" "Arkansas-Pine Bluff Golden Lions" "2012-13" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2013.html" 2012
"201" "Arkansas-Pine Bluff Golden Lions" "2011-12" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2012.html" 2011
"202" "Arkansas-Pine Bluff Golden Lions" "2010-11" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2011.html" 2010
"203" "Arkansas-Pine Bluff Golden Lions" "2009-10" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2010.html" 2009
"204" "Arkansas-Pine Bluff Golden Lions" "2008-09" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2009.html" 2008
"205" "Arkansas-Pine Bluff Golden Lions" "2007-08" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2008.html" 2007
"206" "Arkansas-Pine Bluff Golden Lions" "2006-07" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2007.html" 2006
"207" "Arkansas-Pine Bluff Golden Lions" "2005-06" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2006.html" 2005
"208" "Arkansas-Pine Bluff Golden Lions" "2004-05" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2005.html" 2004
"209" "Arkansas-Pine Bluff Golden Lions" "2003-04" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2004.html" 2003
"210" "Arkansas-Pine Bluff Golden Lions" "2002-03" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2003.html" 2002
"211" "Arkansas-Pine Bluff Golden Lions" "2001-02" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2002.html" 2001
"212" "Arkansas-Pine Bluff Golden Lions" "2000-01" "http://www.sports-reference.com/cbb/schools/arkansas-pine-bluff/2001.html" 2000
"213" "Arkansas Razorbacks" "2014-15" "http://www.sports-reference.com/cbb/schools/arkansas/2015.html" 2014
"214" "Arkansas Razorbacks" "2013-14" "http://www.sports-reference.com/cbb/schools/arkansas/2014.html" 2013
"215" "Arkansas Razorbacks" "2012-13" "http://www.sports-reference.com/cbb/schools/arkansas/2013.html" 2012
"216" "Arkansas Razorbacks" "2011-12" "http://www.sports-reference.com/cbb/schools/arkansas/2012.html" 2011
"217" "Arkansas Razorbacks" "2010-11" "http://www.sports-reference.com/cbb/schools/arkansas/2011.html" 2010
